,,,,,,,,,,,
,Time Series Workbook,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"6202.0 Labour Force, Australia",,,,,,,,,,
,"Table 010. Labour force status by Sex, State and Territory - Trend, Seasonally adjusted and Original",,,,,,,,,,
,,,,,,,,,,,
,,,Enquiries,,,,,,,,
,,,,,,,,,,,
Data Item Description,,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month
,,,,,,,,,,,
Employed total ;  > Females ;  > Tasmania ;,,,Original,A84423741L,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Northern Territory ;,,,Trend,A84424119F,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Northern Territory ;,,,Original,A84423783K,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Australian Capital Territory ;,,,Trend,A84424091R,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Australian Capital Territory ;,,,Original,A84423755A,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  Australia ;,,,Trend,A84423125J,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  Australia ;,,,Seasonally Adjusted,A84423041X,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  Australia ;,,,Original,A84423083W,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > New South Wales ;,,,Trend,A84423945R,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > New South Wales ;,,,Seasonally Adjusted,A84423273K,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > New South Wales ;,,,Original,A84423609C,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Victoria ;,,,Trend,A84424029A,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Victoria ;,,,Seasonally Adjusted,A84423357V,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Victoria ;,,,Original,A84423693F,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Queensland ;,,,Trend,A84423959C,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Queensland ;,,,Seasonally Adjusted,A84423287X,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Queensland ;,,,Original,A84423623X,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > South Australia ;,,,Trend,A84424043W,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > South Australia ;,,,Seasonally Adjusted,A84423371R,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > South Australia ;,,,Original,A84423707J,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Western Australia ;,,,Trend,A84424001X,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Western Australia ;,,,Seasonally Adjusted,A84423329K,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Western Australia ;,,,Original,A84423665W,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Tasmania ;,,,Trend,A84423973X,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Tasmania ;,,,Seasonally Adjusted,A84423301J,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Tasmania ;,,,Original,A84423637L,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Northern Territory ;,,,Trend,A84424015L,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Northern Territory ;,,,Original,A84423679K,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Australian Capital Territory ;,,,Trend,A84423987L,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  Persons ;  > Australian Capital Territory ;,,,Original,A84423651J,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  > Males ;  Australia ;,,,Trend,A84423111V,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  > Males ;  Australia ;,,,Seasonally Adjusted,A84423027C,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  > Males ;  Australia ;,,,Original,A84423069A,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  > Males ;  > New South Wales ;,,,Trend,A84423833W,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  > Males ;  > New South Wales ;,,,Seasonally Adjusted,A84423161T,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  > Males ;  > New South Wales ;,,,Original,A84423497W,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  > Males ;  > Victoria ;,,,Trend,A84423917F,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
> Employed full-time ;  > Males ;  > Victoria ;,,,Seasonally Adjusted,A84423245A,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
